Question,Option1,Option2,Option3,Option4,Answer
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which country has the most islands?,Philippines,Indonesia,Sweden,Finland,Sweden
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
What is the largest planet in our solar system?,Mars,Earth,Saturn,Jupiter,Jupiter
What is the smallest country?,Tuvalu,Nauru,Vatican City,Monaco,Vatican City
What is the capital of Australia?,Melbourne,Canberra,Sydney,Brisbane,Canberra
Which river is the longest in the world?,Amazon,Nile,Mississippi,Yangtze,Nile
Which planet is known as the Red Planet?,Mercury,Mars,Venus,Jupiter,Mars
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
Which is the largest desert?,Kalahari,Antarctic,Gobi,Sahara,Antarctic
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
Which planet is farthest from the sun?,Neptune,Saturn,Jupiter,Uranus,Neptune
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
Which country has the most islands?,Indonesia,Sweden,Finland,Philippines,Sweden
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
Which is the largest desert?,Kalahari,Antarctic,Gobi,Sahara,Antarctic
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
Which planet is farthest from the sun?,Neptune,Jupiter,Saturn,Uranus,Neptune
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
Which river is the longest in the world?,Yangtze,Nile,Amazon,Mississippi,Nile
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Michael Collins,Buzz Aldrin,Neil Armstrong
Which continent has the most countries?,Africa,Asia,Europe,South America,Africa
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
What is the capital of Australia?,Canberra,Melbourne,Sydney,Brisbane,Canberra
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Where is Mount Everest located?,Bhutan,China,Nepal,India,Nepal
Which planet is known as the Red Planet?,Jupiter,Venus,Mars,Mercury,Mars
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which continent has the most countries?,Europe,Africa,South America,Asia,Africa
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Clouds,Atmosphere,Magnetosphere
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which planet has the most moons?,Jupiter,Saturn,Earth,Mars,Saturn
Which is the largest ocean?,Pacific,Arctic,Atlantic,Indian,Pacific
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
What is the largest planet in our solar system?,Mars,Jupiter,Saturn,Earth,Jupiter
Which planet has the most moons?,Jupiter,Earth,Saturn,Mars,Saturn
What is the capital of Australia?,Canberra,Melbourne,Sydney,Brisbane,Canberra
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
Which planet has the most moons?,Saturn,Jupiter,Earth,Mars,Saturn
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,Pacific
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which planet is farthest from the sun?,Saturn,Uranus,Neptune,Jupiter,Neptune
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Where is Mount Everest located?,Bhutan,China,India,Nepal,Nepal
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
What is the capital of Australia?,Brisbane,Sydney,Melbourne,Canberra,Canberra
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
What is the largest planet in our solar system?,Mars,Jupiter,Saturn,Earth,Jupiter
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
Which planet is farthest from the sun?,Neptune,Jupiter,Saturn,Uranus,Neptune
Which is the hottest planet in the solar system?,Venus,Mars,Neptune,Mercury,Venus
Which galaxy do we live in?,Sombrero,Whirlpool,Andromeda,Milky Way,Milky Way
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
Which is the largest ocean?,Atlantic,Arctic,Pacific,Indian,Pacific
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
Which planet has the most moons?,Saturn,Earth,Mars,Jupiter,Saturn
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Which river is the longest in the world?,Nile,Mississippi,Amazon,Yangtze,Nile
Which planet has the most moons?,Jupiter,Saturn,Mars,Earth,Saturn
First person on the Moon?,Neil Armstrong,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
Which planet is known as the Red Planet?,Venus,Mercury,Mars,Jupiter,Mars
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
Which river is the longest in the world?,Nile,Yangtze,Mississippi,Amazon,Nile
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
Which galaxy do we live in?,Andromeda,Milky Way,Whirlpool,Sombrero,Milky Way
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which river is the longest in the world?,Mississippi,Nile,Amazon,Yangtze,Nile
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
Which country has the most islands?,Indonesia,Philippines,Sweden,Finland,Sweden
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
Which is the largest desert?,Antarctic,Sahara,Kalahari,Gobi,Antarctic
Which planet is farthest from the sun?,Neptune,Uranus,Jupiter,Saturn,Neptune
Where is Mount Everest located?,Bhutan,China,Nepal,India,Nepal
Which planet is farthest from the sun?,Jupiter,Neptune,Saturn,Uranus,Neptune
Which planet is known as the Red Planet?,Venus,Mars,Mercury,Jupiter,Mars
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
Which is the largest ocean?,Pacific,Atlantic,Indian,Arctic,Pacific
What is the largest planet in our solar system?,Mars,Earth,Jupiter,Saturn,Jupiter
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
Which country has the most islands?,Sweden,Philippines,Indonesia,Finland,Sweden
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
Which galaxy do we live in?,Whirlpool,Milky Way,Sombrero,Andromeda,Milky Way
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
Which continent has the most countries?,Africa,Asia,Europe,South America,Africa
Where is Mount Everest located?,Bhutan,China,India,Nepal,Nepal
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,Neil Armstrong
Which continent has the most countries?,Africa,Asia,South America,Europe,Africa
Which continent has the most countries?,South America,Europe,Asia,Africa,Africa
Which planet is known as the Red Planet?,Jupiter,Mars,Venus,Mercury,Mars
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Which planet has the most moons?,Mars,Earth,Saturn,Jupiter,Saturn
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which river is the longest in the world?,Nile,Mississippi,Amazon,Yangtze,Nile
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
Which planet is farthest from the sun?,Uranus,Jupiter,Saturn,Neptune,Neptune
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
Which planet is known as the Red Planet?,Jupiter,Mercury,Venus,Mars,Mars
What is the capital of Australia?,Canberra,Sydney,Brisbane,Melbourne,Canberra
Which planet is farthest from the sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
Which country has the most islands?,Finland,Indonesia,Philippines,Sweden,Sweden
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
Which planet has the most moons?,Earth,Mars,Jupiter,Saturn,Saturn
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
Which continent has the most countries?,Asia,South America,Europe,Africa,Africa
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
First person on the Moon?,Michael Collins,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which planet is farthest from the sun?,Saturn,Neptune,Uranus,Jupiter,Neptune
Where is Mount Everest located?,Bhutan,India,China,Nepal,Nepal
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which planet is farthest from the sun?,Uranus,Neptune,Saturn,Jupiter,Neptune
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Which country has the most islands?,Philippines,Finland,Sweden,Indonesia,Sweden
What is the smallest country?,Nauru,Monaco,Tuvalu,Vatican City,Vatican City
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which planet has the most moons?,Mars,Earth,Jupiter,Saturn,Saturn
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
Which river is the longest in the world?,Amazon,Yangtze,Mississippi,Nile,Nile
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which is the largest ocean?,Pacific,Indian,Atlantic,Arctic,Pacific
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
What protects Earth from solar winds?,Clouds,Ozone Layer,Magnetosphere,Atmosphere,Magnetosphere
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
Which galaxy do we live in?,Andromeda,Sombrero,Milky Way,Whirlpool,Milky Way
Which is the hottest planet in the solar system?,Neptune,Venus,Mars,Mercury,Venus
Which is the largest desert?,Kalahari,Antarctic,Gobi,Sahara,Antarctic
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Which is the hottest planet in the solar system?,Venus,Neptune,Mercury,Mars,Venus
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
Which is the largest desert?,Sahara,Gobi,Kalahari,Antarctic,Antarctic
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
What is the smallest country?,Nauru,Vatican City,Monaco,Tuvalu,Vatican City
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
Which country has the most islands?,Indonesia,Finland,Sweden,Philippines,Sweden
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa
What is the largest planet in our solar system?,Mars,Jupiter,Saturn,Earth,Jupiter
What is the largest planet in our solar system?,Mars,Jupiter,Earth,Saturn,Jupiter
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,Neil Armstrong
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
What protects Earth from solar winds?,Clouds,Ozone Layer,Atmosphere,Magnetosphere,Magnetosphere
Which is the hottest planet in the solar system?,Mercury,Venus,Mars,Neptune,Venus
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
What is the capital of Australia?,Melbourne,Canberra,Sydney,Brisbane,Canberra
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
Which continent has the most countries?,South America,Europe,Asia,Africa,Africa
Which continent has the most countries?,South America,Europe,Asia,Africa,Africa
Which is the hottest planet in the solar system?,Venus,Mars,Neptune,Mercury,Venus
Which is the largest desert?,Gobi,Antarctic,Kalahari,Sahara,Antarctic
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Which river is the longest in the world?,Mississippi,Yangtze,Nile,Amazon,Nile
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
First person on the Moon?,Michael Collins,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,Pacific
What is the capital of Australia?,Canberra,Melbourne,Sydney,Brisbane,Canberra
Which river is the longest in the world?,Yangtze,Amazon,Nile,Mississippi,Nile
Which continent has the most countries?,South America,Asia,Africa,Europe,Africa
Which galaxy do we live in?,Sombrero,Milky Way,Whirlpool,Andromeda,Milky Way
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong
Which galaxy do we live in?,Andromeda,Whirlpool,Milky Way,Sombrero,Milky Way
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
What is the capital of Australia?,Melbourne,Sydney,Brisbane,Canberra,Canberra
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
Which is the largest desert?,Gobi,Sahara,Antarctic,Kalahari,Antarctic
Which river is the longest in the world?,Yangtze,Amazon,Nile,Mississippi,Nile
Where is Mount Everest located?,China,India,Bhutan,Nepal,Nepal
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Mercury,Mars
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Saturn
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
First person on the Moon?,Michael Collins,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which planet has the most moons?,Earth,Mars,Saturn,Jupiter,Saturn
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which continent has the most countries?,South America,Asia,Africa,Europe,Africa
What is the largest planet in our solar system?,Mars,Earth,Saturn,Jupiter,Jupiter
Where is Mount Everest located?,Bhutan,China,Nepal,India,Nepal
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
Which is the hottest planet in the solar system?,Venus,Neptune,Mercury,Mars,Venus
Which galaxy do we live in?,Sombrero,Whirlpool,Milky Way,Andromeda,Milky Way
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,Mars
What is the smallest country?,Tuvalu,Nauru,Vatican City,Monaco,Vatican City
Which planet is farthest from the sun?,Uranus,Jupiter,Saturn,Neptune,Neptune
Which continent has the most countries?,Asia,Africa,South America,Europe,Africa
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
Which planet has the most moons?,Saturn,Earth,Mars,Jupiter,Saturn
Which is the largest ocean?,Pacific,Atlantic,Arctic,Indian,Pacific
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which river is the longest in the world?,Yangtze,Nile,Amazon,Mississippi,Nile
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
Which is the largest desert?,Sahara,Kalahari,Gobi,Antarctic,Antarctic
Which river is the longest in the world?,Nile,Mississippi,Yangtze,Amazon,Nile
Which country has the most islands?,Indonesia,Philippines,Sweden,Finland,Sweden
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which is the hottest planet in the solar system?,Venus,Mars,Mercury,Neptune,Venus
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which is the largest ocean?,Arctic,Atlantic,Indian,Pacific,Pacific
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
What is the largest planet in our solar system?,Mars,Earth,Saturn,Jupiter,Jupiter
Which planet is known as the Red Planet?,Venus,Mars,Mercury,Jupiter,Mars
Which planet has the most moons?,Saturn,Jupiter,Earth,Mars,Saturn
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Clouds,Atmosphere,Magnetosphere
Which planet is known as the Red Planet?,Venus,Mercury,Jupiter,Mars,Mars
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
Which is the hottest planet in the solar system?,Neptune,Mercury,Venus,Mars,Venus
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
Which continent has the most countries?,Africa,Asia,Europe,South America,Africa
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
Which planet has the most moons?,Earth,Mars,Jupiter,Saturn,Saturn
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
Which continent has the most countries?,Europe,Africa,South America,Asia,Africa
Which is the hottest planet in the solar system?,Venus,Mars,Mercury,Neptune,Venus
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which galaxy do we live in?,Andromeda,Milky Way,Whirlpool,Sombrero,Milky Way
Which planet is known as the Red Planet?,Mars,Jupiter,Venus,Mercury,Mars
Which is the largest ocean?,Pacific,Indian,Arctic,Atlantic,Pacific
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
Which is the hottest planet in the solar system?,Mercury,Neptune,Venus,Mars,Venus
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Which galaxy do we live in?,Andromeda,Milky Way,Whirlpool,Sombrero,Milky Way
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which planet is farthest from the sun?,Jupiter,Saturn,Neptune,Uranus,Neptune
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
Which continent has the most countries?,Europe,Africa,Asia,South America,Africa
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
What is the capital of Australia?,Melbourne,Brisbane,Canberra,Sydney,Canberra
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
Which river is the longest in the world?,Yangtze,Nile,Mississippi,Amazon,Nile
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
